"rt","key_press","correct","choices","correct_choice","trial_duration","response_ends_trial","number_of_dots","number_of_sets","coherent_direction","coherence","dot_radius","dot_life","move_distance","aperture_width","aperture_height","dot_color","background_color","RDK_type","aperture_type","reinsert_type","frame_rate","frame_rate_array","number_of_frames","trial_type","trial_index","time_elapsed","internal_node_id"
"-1","-1","false","a,l","l","200","true","200","1","0","0.5","2","-1","1","600","400","white","gray","3","2","2","17.87272727273574","[12.800000000046566,17.700000000186265,16.699999999953434,16.699999999720603,39.700000000186265,10.200000000186265,16.799999999813735,16.5999999998603,16.800000000046566,16.600000000093132,16]","11","RDK","9227","1978968","0.0-0.0-9227.0"
"-1","-1","false","a,l","l","200","true","200","1","0","0.5","2","-1","1","600","400","white","gray","3","2","2","16.65454545456239","[16.399999999906868,16.700000000186265,16.799999999813735,16.700000000186265,16.5,16.800000000046566,16.5999999998603,23.5,9,17.5,16.700000000186265]","11","RDK","9228","1979180","0.0-0.0-9228.0"
"-1","-1","false","a,l","l","200","true","200","1","0","0.5","2","-1","1","600","400","white","gray","3","2","2","16.47499999999612","[14.299999999813735,16.600000000093132,16.800000000046566,16.600000000093132,28.199999999953434,4.699999999953434,17,16.800000000046566,16.699999999953434,16.699999999953434,16,17.300000000046566]","12","RDK","9229","1979383","0.0-0.0-9229.0"
"-1","-1","false","a,l","a","200","true","200","1","180","0.5","2","-1","1","600","400","white","gray","3","2","2","16.344444444454794","[13.800000000046566,16.399999999906868,16.800000000046566,16.699999999953434,16.699999999953434,16.600000000093132,16.699999999953434,16.600000000093132,16.800000000046566]","9","RDK","9230","1979597","0.0-0.0-9230.0"
"-1","-1","false","a,l","a","200","true","200","1","180","0.5","2","-1","1","600","400","white","gray","3","2","2","16.466666666674428","[14.200000000186265,16.5999999998603,16.699999999953434,25,8.199999999953434,16.699999999953434,16.800000000046566,16.699999999953434,16.50000000023283,16.899999999906868,16.699999999953434,16.600000000093132]","12","RDK","9231","1979799","0.0-0.0-9231.0"
"-1","-1","false","a,l","a","200","true","200","1","180","0.5","2","-1","1","600","400","white","gray","3","2","2","18.136363636363637","[16,16.800000000046566,16.699999999953434,16.600000000093132,43.300000000046566,6.599999999860302,16.700000000186265,16.699999999720603,16.699999999953434,16.700000000186265,16.699999999953434]","11","RDK","9232","1980014","0.0-0.0-9232.0"
"-1","-1","false","a,l","a","200","true","200","1","180","0.5","2","-1","1","600","400","white","gray","3","2","2","17.672727272739973","[27.200000000186265,16.199999999953434,17.5999999998603,16.700000000186265,16.699999999953434,16.600000000093132,15.899999999906868,17.399999999906868,16.700000000186265,16.699999999720603,16.700000000186265]","11","RDK","9233","1980231","0.0-0.0-9233.0"
"-1","-1","false","a,l","a","200","true","200","1","180","0.5","2","-1","1","600","400","white","gray","3","2","2","16.658333333344974","[16.4000000001397,16.699999999953434,25,8.400000000139698,16.5,16.799999999813735,16.800000000046566,16.4000000001397,16.899999999906868,16.600000000093132,16.699999999720603,16.700000000186265]","12","RDK","9234","1980449","0.0-0.0-9234.0"
"-1","-1","false","a,l","a","200","true","200","1","180","0.5","2","-1","1","600","400","white","gray","3","2","2","17.881818181813948","[13.300000000046566,16.699999999953434,16.699999999953434,16.699999999953434,35.800000000046566,13.900000000139698,16.799999999813735,16.9000000001397,16.5,16.800000000046566,16.5999999998603]","11","RDK","9235","1980664","0.0-0.0-9235.0"
"-1","-1","false","a,l","a","200","true","200","1","180","0.5","2","-1","1","600","400","white","gray","3","2","2","17.24545454547148","[6.399999999906868,16.600000000325963,16.5999999998603,16.800000000046566,16.5999999998603,15.699999999953434,17.600000000325963,35.799999999813735,14.199999999953434,16.699999999953434,16.700000000186265]","11","RDK","9236","1980908","0.0-0.0-9236.0"
